level,title,pdf_url,book_page
0,チワワの花すけ～影とお散歩,https://tadoku.org/japanese/wp-content/uploads/f0072e-kagetoosanpo-v6.pdf,https://tadoku.org/japanese/book/8139/
0,入れて,https://tadoku.org/japanese/wp-content/uploads/f0042e-irete.pdf,https://tadoku.org/japanese/book/5998/
0,夜の空で,https://tadoku.org/japanese/wp-content/uploads/f0088e-yorunosorade-v2.pdf,https://tadoku.org/japanese/book/38369/
0,寒い日は「おなべ」,https://tadoku.org/japanese/wp-content/uploads/f0066e-samuihihaonabe-v4.pdf,https://tadoku.org/japanese/book/7914/
0,広島・宮島に行きましょう,https://tadoku.org/japanese/wp-content/uploads/f0064e-hiroshimamiyajima-v4.pdf,https://tadoku.org/japanese/book/7595/
0,彼氏がほしい！,https://tadoku.org/japanese/wp-content/uploads/1da767c8ef5e0509ee049390e50a9d40.pdf,https://tadoku.org/japanese/book/8777/
0,畳生活,https://tadoku.org/japanese/wp-content/uploads/w0010e-tatami-v2.pdf,https://tadoku.org/japanese/book/39413/
0,羊飼いの男の子 ～イソップ物語より,https://tadoku.org/japanese/wp-content/uploads/w0006e-hitsujikainootokonoko-v4.pdf,https://tadoku.org/japanese/book/6988/
0,肉じゃが,https://tadoku.org/japanese/wp-content/uploads/f0021e-nikujaga-v2.pdf,https://tadoku.org/japanese/book/4908/
0,花と色,https://tadoku.org/japanese/wp-content/uploads/w0001e-hanatoiro-v2.pdf,https://tadoku.org/japanese/book/2746/
0,菊,https://tadoku.org/japanese/wp-content/uploads/f0049e-kikunohana-v3.pdf,https://tadoku.org/japanese/book/6377/
0,野菜の花,https://tadoku.org/japanese/wp-content/uploads/w0002e-yasainohana-v2.pdf,https://tadoku.org/japanese/book/2747/
1,おばあちゃんがいない,https://tadoku.org/japanese/wp-content/uploads/f0116e-obaachangainai.pdf,https://tadoku.org/japanese/book/48395/
1,かぼちゃん日本の秋へ,https://tadoku.org/japanese/wp-content/uploads/f0011e-kabochan-v3.pdf,https://tadoku.org/japanese/book/4159/
