Kanji,Reading
誕生日,たんじょうび
だんだん,だんだん
小さい,ちいさい
小さな,ちいさな
近い,ちかい
違う,ちがう
近く,ちかく
地下鉄,ちかてつ
地図,ちず
茶色,ちゃいろ
ちゃわん,ちゃわん
ちょうど,ちょうど
ちょっと,ちょっと
一日,ついたち
使う,つかう
疲れる,つかれる
次,つぎ
着く,つく
机,つくえ
作る,つくる
つける,つける
勤める,つとめる
つまらない,つまらない
冷たい,つめたい
強い,つよい
手,て
テープ,テープ
テーブル,テーブル
テープレコーダー,テープレコーダー
出かける,でかける
手紙,てがみ
できる,できる
出口,でぐち
テスト,テスト
では,では
デパート,デパート
でも,でも
出る,でる
テレビ,テレビ
天気,てんき
電気,でんき
電車,でんしゃ
電話,でんわ
戸,と
ドア,ドア
トイレ,トイレ
どう,どう
どうして,どうして
どうぞ,どうぞ
動物,どうぶつ
どうも,どうも
遠い,とおい
十日,とおか
時々,ときどき
時計,とけい
どこ,どこ
所,ところ
年,とし
図書館,としょかん
どちら,どちら
どっち,どっち
とても,とても
どなた,どなた
隣,となり
どの,どの
飛ぶ,とぶ
止まる,とまる
友達,ともだち
土曜日,どようび
鳥,とり
とり肉,とりにく
取る,とる
撮る,とる
どれ,どれ
ナイフ,ナイフ
中,なか
長い,ながい
鳴く,なく
無くす,なくす
なぜ,なぜ
夏,なつ
夏休み,なつやすみ
など,など
七つ,ななつ
七日,なのか
名前,なまえ
習う,ならう
並ぶ,ならぶ
並べる,ならべる
なる,なる
何,なん
何,なに
二,に
賑やか,にぎやか
肉,にく
西,にし
日曜日,にちようび
荷物,にもつ
ニュース,ニュース
庭,にわ
脱ぐ,ぬぐ
温い,ぬるい
ネクタイ,ネクタイ
猫,ねこ
寝る,ねる
ノート,ノート
登る,のぼる
飲み物,のみもの
飲む,のむ
乗る,のる
歯,は
パーティー,パーティー
はい,はい
灰皿,はいざら
入る,はいる
葉書,はがき
はく,はく
箱,はこ
橋,はし
はし,はし
始まる,はじまる
初め,はじめ
始め,はじめ
初めて,はじめて
走る,はしる
バス,バス
バター,バター
二十歳,はたち
働く,はたらく
八,はち
二十日,はつか
花,はな
鼻,はな
話,はなし
話す,はなす
早い,はやい
速い,はやい
春,はる
貼る,はる
晴れ,はれ
晴れる,はれる
半,はん
晩,ばん
パン,パン
ハンカチ,ハンカチ
番号,ばんごう
晩御飯,ばんごはん
半分,はんぶん
東,ひがし
引く,ひく
弾く,ひく
低い,ひくい
飛行機,ひこうき
左,ひだり
人,ひと
一つ,ひとつ
一月,ひとつき
一人,ひとり
暇,ひま
百,ひゃく
病院,びょういん
病気,びょうき
昼,ひる
昼御飯,ひるごはん
広い,ひろい
フィルム,フィルム
封筒,ふうとう
プール,プール
フォーク,フォーク
吹く,ふく
服,ふく
二つ,ふたつ
豚肉,ぶたにく
二人,ふたり
二日,ふつか
太い,ふとい
冬,ふゆ
降る,ふる
古い,ふるい
ふろ,ふろ
文章,ぶんしょう
ページ,ページ
下手,へた
ベッド,ベッド
ペット,ペット
部屋,へや
辺,へん
ペン,ペン
勉強,べんきょうする
便利,べんり
帽子,ぼうし
ボールペン,ボールペン
ほか,ほか
ポケット,ポケット
欲しい,ほしい
ポスト,ポスト
細い,ほそい
ボタン,ボタン
ホテル,ホテル
本,ほん
本棚,ほんだな
ほんとう,ほんとう
毎朝,まいあさ
毎月,まいげつ
毎月,まいつき
毎週,まいしゅう
毎日,まいにち
毎年,まいねん
毎年,まいとし
毎晩,まいばん
前,まえ
曲る,まがる
まずい,まずい
また,また
まだ,まだ
町,まち
待つ,まつ
まっすぐ,まっすぐ
マッチ,マッチ
窓,まど
丸い,まるい
円い,まるい
万,まん
万年筆,まんねんひつ
磨く,みがく
右,みぎ
短い,みじかい
水,みず
店,みせ
見せる,みせる
道,みち
三日,みっか
三つ,みっつ
緑,みどり
皆さん,みなさん
南,みなみ
耳,みみ
見る 観る,みる
みんな,みんな
六日,むいか
向こう,むこう
難しい,むずかしい
六つ,むっつ
村,むら
目,め
メートル,メートル
眼鏡,めがね
もう,もう
もう一度,もういちど
木曜日,もくようび
持つ,もつ
もっと,もっと
物,もの
門,もん
問題,もんだい
八百屋,やおや
野菜,やさい
易しい,やさしい
安い,やすい
休み,やすみ
休む,やすむ
八つ,やっつ
山,やま
やる,やる
夕方,ゆうがた
夕飯,ゆうはん
郵便局,ゆうびんきょく
昨夜,ゆうべ
有名,ゆうめい
雪,ゆき
行く,ゆく
ゆっくりと,ゆっくりと
八日,ようか
洋服,ようふく
よく,よく
横,よこ
四日,よっか
四つ,よっつ
呼ぶ,よぶ
読む,よむ
夜,よる
弱い,よわい
来月,らいげつ
来週,らいしゅう
来年,らいねん
ラジオ,ラジオ
ラジカセ,ラジカセ
ラジオカセット,ラジオカセット
りっぱ,りっぱ
留学生,りゅうがくせい
両親,りょうしん
料理,りょうり
旅行,りょこう
零,れい
冷蔵庫,れいぞうこ
レコード,レコード
レストラン,レストラン
練習,れんしゅうする
廊下,ろうか
六,ろく
ワイシャツ,ワイシャツ
若い,わかい
分かる,わかる
忘れる,わすれる
私,わたくし
私,わたし
渡す,わたす
渡る,わたる
悪い,わるい
より,より
より,ほう
ほう,より
ほう,ほう
